"last_name, first_name",player_id,year,pa,k_percent,bb_percent,xwoba,exit_velocity_avg,whiff_percent,ff_percentage,sl_percentage,ch_percentage,cu_percentage,si_percentage,fc_percentage,fs_percentage,kn_percentage,st_percentage,sv_percentage,fo_percentage,sc_percentage,k_minus_bb_percent,sw_percentage,pitcher_hand,cluster_group,cluster_name
"Webb, Logan",657277,2025,856,26.2,5.4,0.295,89.7,24.7,7.9,,24.1,,33.6,7.8,,,26.6,,,,20.799999999999997,0.0,R,8,Changeup Specialist
"Crochet, Garrett",676979,2025,814,31.3,5.7,0.266,87.7,29.4,35.9,,4.3,,16.0,27.7,0.0,,16.0,,,,25.6,0.0,L,4,Cutter/Sinker
"Gallen, Zac",668678,2025,813,21.5,8.1,0.32,90.1,23.7,45.0,13.0,16.0,23.5,2.5,0.1,,,,,,,13.4,0.0,R,2,4 seam + 12/6
"Sánchez, Cristopher",650911,2025,807,26.3,5.5,0.272,89.0,30.4,,16.6,37.4,,46.0,,,,,,,,20.8,0.0,R,8,Changeup Specialist
"Valdez, Framber",664285,2025,802,23.3,8.5,0.303,90.8,26.6,0.2,3.1,17.9,33.1,45.7,,,,,,,,14.8,0.0,R,6,Primary Sinker
"Fried, Max",608331,2025,801,23.6,6.4,0.287,87.2,26.6,12.2,1.7,10.9,17.3,17.7,28.6,,,11.6,,,,17.200000000000003,0.0,R,4,Cutter/Sinker
"Rodón, Carlos",607074,2025,789,25.7,9.3,0.285,88.6,30.3,41.8,28.4,16.2,3.8,9.7,0.2,,,,,,,16.4,0.0,R,3,Four Seam and Changeup/Splitter
"Irvin, Jake",663623,2025,787,15.8,7.9,0.36,90.4,18.2,32.0,4.1,7.7,29.6,22.1,4.4,,,,,,,7.9,0.0,L,2,4 seam + 12/6
"Gausman, Kevin",592332,2025,775,24.4,6.5,0.301,89.3,26.4,53.7,8.8,,,0.1,,37.4,,,,,,17.9,0.0,R,7,Big Arsenal
"Kikuchi, Yusei",579328,2025,772,22.5,9.6,0.327,91.0,23.6,34.9,36.2,12.2,15.4,1.1,,,,0.2,,,,12.9,0.0,R,2,4 seam + 12/6
"Pfaadt, Brandon",694297,2025,767,19.2,4.8,0.352,90.8,22.1,23.4,,15.7,9.8,23.5,9.2,,,18.6,,,,14.399999999999999,0.0,R,7,Big Arsenal
"Bibee, Tanner",676440,2025,762,21.3,7.1,0.297,88.5,23.8,27.9,,15.2,5.1,15.2,20.7,,,16.0,,,,14.200000000000001,0.0,L,7,Big Arsenal
"Littell, Zack",641793,2025,759,17.1,4.2,0.323,90.2,20.4,23.9,27.5,,,15.8,,27.3,,5.4,,,,12.900000000000002,0.0,L,7,Big Arsenal
"Luzardo, Jesús",666200,2025,758,28.5,7.5,0.285,88.5,30.8,33.3,6.5,17.3,,10.8,,,,32.1,,,,21.0,0.0,R,3,Four Seam and Changeup/Splitter
"Ray, Robbie",592662,2025,755,24.6,9.7,0.3,91.0,27.8,51.9,22.6,13.0,12.1,0.1,,,,0.4,,,,14.900000000000002,0.0,R,2,4 seam + 12/6
"Gray, Sonny",543243,2025,753,26.7,5.0,0.306,88.9,27.5,21.7,1.7,8.4,18.4,18.0,12.6,,,19.2,,,,21.7,0.0,R,7,Big Arsenal
"Keller, Mitch",656605,2025,749,20.0,6.8,0.326,90.1,20.6,34.8,14.0,7.0,7.3,17.8,0.1,,,19.1,,,,13.2,0.0,R,7,Big Arsenal
"Skubal, Tarik",669373,2025,748,32.2,4.4,0.258,86.1,32.5,29.3,12.5,31.4,2.8,23.9,,0.1,,,,,,27.800000000000004,0.0,R,8,Changeup Specialist
"Kelly, Merrill",518876,2025,748,22.3,6.4,0.316,90.2,24.1,23.2,7.0,27.1,9.7,12.9,20.2,,,,,,,15.9,0.0,R,8,Changeup Specialist
"Castillo, Luis",622491,2025,745,21.7,6.2,0.312,90.3,24.6,46.3,20.4,11.4,,22.0,,,,,,,,15.5,0.0,R,3,Four Seam and Changeup/Splitter
"Alcantara, Sandy",645261,2025,745,19.1,7.7,0.332,90.7,20.9,17.1,17.1,23.2,,25.8,16.7,,,,,,,11.400000000000002,0.0,R,8,Changeup Specialist
"Bassitt, Chris",605135,2025,736,22.6,7.1,0.316,87.7,23.3,9.3,2.9,3.7,16.2,41.7,16.8,3.6,,5.8,,,,15.500000000000002,0.0,R,6,Primary Sinker
"Skenes, Paul",694973,2025,733,29.5,5.7,0.255,87.6,30.1,38.9,5.6,10.9,4.8,10.4,,13.5,,15.8,,,,23.8,0.0,R,3,Four Seam and Changeup/Splitter
"Woo, Bryan",693433,2025,731,27.1,4.9,0.274,89.1,26.2,47.3,11.0,7.1,,25.5,,,,9.0,,,,22.200000000000003,0.0,R,7,Big Arsenal
"Brown, Hunter",686613,2025,729,28.3,7.8,0.277,86.1,27.8,37.5,8.5,12.0,17.9,22.7,1.4,,,,,,,20.5,0.0,R,2,4 seam + 12/6
"Parker, Mitchell",680730,2025,725,14.2,8.0,0.37,92.3,19.6,55.5,12.1,,22.0,,,10.5,,,,,,6.199999999999999,0.0,R,2,4 seam + 12/6
"Soriano, José",667755,2025,724,21.0,10.8,0.312,91.4,27.0,8.6,6.0,0.4,26.7,49.1,,9.2,,,,,,10.2,0.0,R,6,Primary Sinker
"Peralta, Freddy",642547,2025,723,28.2,9.1,0.289,88.0,30.1,53.5,9.1,21.2,15.1,,,,,1.1,,,,19.1,0.0,R,8,Changeup Specialist
"Peterson, David",656849,2025,723,20.7,9.0,0.331,90.6,24.0,22.3,19.1,15.3,13.7,29.6,,,,,,,,11.7,0.0,R,6,Primary Sinker
"Cease, Dylan",656302,2025,722,29.8,9.8,0.29,88.9,33.4,42.1,40.8,1.2,8.3,3.9,,,,3.5,,,,20.0,0.0,R,7,Big Arsenal
"Pivetta, Nick",601713,2025,721,26.4,6.9,0.309,90.3,24.6,47.4,0.5,,22.4,2.3,8.8,0.2,,18.6,,,,19.5,0.0,R,2,4 seam + 12/6
"Boyd, Matthew",571510,2025,718,21.4,5.8,0.301,88.5,23.1,47.1,14.9,23.7,11.3,3.0,,,,,,,,15.599999999999998,0.0,R,8,Changeup Specialist
"Singer, Brady",663903,2025,716,22.8,8.4,0.32,90.3,24.0,10.7,28.4,,,40.6,9.3,,,11.1,,,,14.4,0.0,R,6,Primary Sinker
"Wacha, Michael",608379,2025,716,17.6,6.3,0.316,87.5,21.3,27.0,12.2,25.4,7.7,12.7,15.0,,,,,,,11.3,0.0,L,9,Lefty Changeup Specialist
"Pallante, Andre",669467,2025,715,15.5,8.7,0.321,89.2,22.3,44.1,28.5,,14.0,13.3,,,,0.1,,,,6.800000000000001,0.0,L,2,4 seam + 12/6
"Springs, Jeffrey",605488,2025,713,19.4,7.6,0.321,88.3,26.0,42.5,20.2,25.3,,,5.9,,,6.1,,,,11.799999999999999,0.0,L,9,Lefty Changeup Specialist
"Baz, Shane",669358,2025,711,24.8,9.0,0.306,89.0,25.8,43.9,3.0,11.4,26.9,,14.7,,,,,,,15.8,0.0,R,2,4 seam + 12/6
"Warren, Will",701542,2025,711,24.1,9.1,0.33,91.0,24.6,41.6,,9.8,7.0,21.0,,,,20.6,,,,15.000000000000002,0.0,R,7,Big Arsenal
